price,exchange,request_time
118187.85,binance,2025-07-24_11:21:07
118187.85,binance,2025-07-24_11:21:13
118187.85,binance,2025-07-24_11:21:19
118187.85,binance,2025-07-24_11:21:26
118187.85,binance,2025-07-24_11:21:32
118155.9,binance,2025-07-24_11:22:44
118148.0,binance,2025-07-24_11:23:15
118147.9,binance,2025-07-24_11:23:45
118128.91,binance,2025-07-24_11:24:16
118128.91,binance,2025-07-24_11:24:46
23626.24,binance,2025-07-24_11:30:48
23614.17,binance,2025-07-24_11:31:20
23602.58,binance,2025-07-24_11:31:50
23602.58,binance,2025-07-24_11:32:20
23602.58,binance,2025-07-24_11:32:52
23602.53,binance,2025-07-24_11:33:22
23602.53,binance,2025-07-24_11:33:53
23602.53,binance,2025-07-24_11:34:24
23596.21,binance,2025-07-24_11:34:54
23596.21,binance,2025-07-24_11:35:25
23596.21,binance,2025-07-24_11:35:55
23596.21,binance,2025-07-24_11:36:26
23596.21,binance,2025-07-24_11:36:57
23591.12,binance,2025-07-24_11:37:28
23591.12,binance,2025-07-24_11:37:58
23591.12,binance,2025-07-24_11:38:29
23591.12,binance,2025-07-24_11:39:00
23591.12,binance,2025-07-24_11:39:30
23591.12,binance,2025-07-24_11:40:02
23591.12,binance,2025-07-24_11:40:33
23591.12,binance,2025-07-24_11:41:03
23591.12,binance,2025-07-24_12:01:48
23591.12,binance,2025-07-24_12:02:19
23591.12,binance,2025-07-24_12:02:50
23591.12,binance,2025-07-24_12:03:21
47427.66,binance,2025-07-24_12:13:49
47427.66,binance,2025-07-24_12:14:05
47427.66,binance,2025-07-24_12:14:20
47427.66,binance,2025-07-24_12:14:36
47427.66,binance,2025-07-24_12:14:53
47427.66,binance,2025-07-24_12:15:08
47427.66,binance,2025-07-24_12:15:25
47427.66,binance,2025-07-24_12:15:40
47427.66,binance,2025-07-24_12:15:56
47427.66,binance,2025-07-24_12:16:12
47427.66,binance,2025-07-24_12:16:28
47427.66,binance,2025-07-24_12:16:43
47427.66,binance,2025-07-24_12:16:59
47427.66,binance,2025-07-24_12:17:15
47427.66,binance,2025-07-24_12:17:31
47427.66,binance,2025-07-24_12:17:46
47427.66,binance,2025-07-24_12:18:03
47427.66,binance,2025-07-24_12:18:19
47427.66,binance,2025-07-24_12:18:35
47427.66,binance,2025-07-24_12:18:50
47483.06,coinbase,2025-07-24_12:22:15
47483.06,coinbase,2025-07-24_12:22:30
47483.06,coinbase,2025-07-24_12:22:45
47483.06,coinbase,2025-07-24_12:23:01
47477.17,coinbase,2025-07-24_12:23:16
47477.17,coinbase,2025-07-24_12:23:31
47469.2,kraken,2025-07-24_12:23:46
47469.2,kraken,2025-07-24_12:24:01
47469.2,kraken,2025-07-24_12:24:17
47469.2,kraken,2025-07-24_12:24:33
47469.2,kraken,2025-07-24_12:24:49
47469.2,kraken,2025-07-24_12:25:04
47469.2,kraken,2025-07-24_12:25:19
47469.2,kraken,2025-07-24_12:25:34
47469.2,kraken,2025-07-24_12:25:49
47469.2,kraken,2025-07-24_12:26:05
47469.2,kraken,2025-07-24_12:26:21
47469.2,kraken,2025-07-24_12:26:36
47469.2,kraken,2025-07-24_12:26:52
47469.2,kraken,2025-07-24_12:27:07
